"sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","school","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use"
"308","F",17,"U","GT3","T",3,2,"health","health","reputation","no","yes","GP","father",1,4,0,"no","yes","yes","yes","yes","no",5,2,2,1,2,5,0,18,18,18,1.5,FALSE
"309","M",20,"U","GT3","A",3,2,"services","other","course","yes","no","GP","other",1,1,1,"no","no","no","yes","yes","no",5,5,3,1,1,5,0,16,16,16,1,FALSE
"310","M",19,"R","GT3","T",3,3,"other","services","reputation","yes","no","GP","father",1,2,0,"no","no","no","yes","yes","yes",4,5,3,1,2,5,0,12,11,12,1.5,FALSE
"311","F",18,"U","GT3","T",2,1,"services","other","course","yes","yes","GP","mother",2,2,0,"no","yes","yes","yes","yes","no",5,3,3,1,2,1,1,10,10,8,1.5,FALSE
"312","F",18,"U","GT3","T",4,3,"other","other","course","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","yes",4,3,4,1,1,5,6,12,12,13,1,FALSE
"313","F",17,"R","GT3","T",3,4,"at_home","services","course","no","yes","GP","father",1,3,0,"no","yes","yes","yes","yes","no",4,3,4,2,5,5,1,13,13,14,3.5,TRUE
"314","F",18,"U","GT3","T",4,4,"teacher","other","course","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,4,4,3,3,5,1,12,11,12,3,TRUE
"315","F",17,"U","GT3","A",4,3,"services","services","course","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","yes",5,2,2,1,2,5,18,14,14,15,1.5,FALSE
"316","F",17,"U","GT3","T",2,2,"other","other","course","yes","no","GP","mother",1,2,0,"no","yes","no","no","yes","yes",4,2,2,1,1,3,8,12,11,11,1,FALSE
"317","F",17,"R","LE3","T",2,2,"services","services","course","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","no",3,3,2,2,2,3,2,11,11,10,2,FALSE
"318","F",17,"U","GT3","T",3,1,"services","services","course","no","yes","GP","father",1,3,0,"no","yes","no","no","yes","no",3,4,3,2,3,5,0,14,16,16,2.5,TRUE
"319","F",17,"U","LE3","T",0,2,"at_home","at_home","home","yes","yes","GP","father",2,3,0,"no","no","no","no","yes","no",3,3,3,2,3,2,0,15,14,15,2.5,TRUE
"320","M",18,"U","GT3","T",4,4,"other","other","course","yes","yes","GP","mother",1,3,0,"no","no","no","yes","yes","no",4,3,3,2,2,3,2,11,13,12,2,FALSE
"321","M",17,"U","GT3","T",3,3,"other","services","reputation","no","yes","GP","mother",1,1,0,"no","no","no","yes","yes","no",4,3,5,3,5,5,2,16,16,16,4,TRUE
"322","M",17,"R","GT3","T",2,2,"services","other","course","yes","yes","GP","mother",4,1,0,"no","yes","no","no","yes","no",4,4,5,5,5,4,5,11,10,10,5,TRUE
"323","F",17,"U","GT3","T",4,4,"teacher","services","course","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,4,4,4,10,10,10,2.5,TRUE
"324","F",17,"U","GT3","T",4,4,"teacher","services","course","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","no",5,4,4,1,3,4,4,12,10,11,2,FALSE
"325","F",17,"U","GT3","T",4,4,"teacher","teacher","course","no","yes","GP","mother",2,3,0,"no","yes","yes","no","yes","yes",4,3,3,1,2,4,4,14,14,14,1.5,FALSE
"326","M",18,"U","LE3","T",2,2,"other","other","course","yes","yes","GP","mother",1,4,0,"no","yes","no","yes","yes","no",4,5,5,2,4,5,1,10,10,10,3,TRUE
"327","F",17,"R","GT3","T",2,4,"at_home","other","course","yes","yes","GP","father",1,3,0,"no","yes","no","no","yes","yes",4,4,3,1,1,5,4,14,14,14,1,FALSE
"328","F",18,"U","GT3","T",3,3,"services","services","home","yes","yes","GP","mother",1,2,0,"no","no","no","yes","yes","no",5,3,4,1,1,4,4,8,6,6,1,FALSE
"329","F",18,"U","LE3","T",2,2,"other","other","home","no","yes","GP","other",1,2,0,"no","no","no","yes","yes","yes",4,3,3,1,1,2,0,9,8,6,1,FALSE
"330","F",18,"R","GT3","T",2,2,"at_home","other","course","yes","no","GP","mother",2,4,0,"no","no","no","yes","yes","no",4,4,4,1,1,4,3,12,11,7,1,FALSE
"331","F",18,"R","GT3","T",2,2,"at_home","other","course","yes","no","GP","mother",2,3,0,"no","no","no","yes","yes","no",4,4,4,1,1,4,0,10,4,0,1,FALSE
"332","F",17,"U","GT3","T",3,4,"services","other","course","yes","yes","GP","mother",1,3,0,"no","no","no","no","yes","no",4,4,5,1,3,5,12,14,14,14,2,FALSE
"333","F",17,"U","GT3","T",3,2,"other","other","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","yes",4,3,2,2,3,2,0,10,10,8,2.5,TRUE
"334","F",18,"U","LE3","T",3,3,"services","services","home","yes","yes","GP","mother",1,4,0,"no","yes","no","no","yes","no",5,3,3,1,1,1,6,15,14,16,1,FALSE
"335","F",17,"R","GT3","A",3,2,"other","other","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,2,3,2,2,12,12,13,2.5,TRUE
"336","M",18,"U","GT3","T",4,4,"teacher","services","home","yes","yes","GP","father",2,2,0,"no","yes","no","yes","yes","no",4,2,4,2,3,2,3,10,11,6,2.5,TRUE
"337","M",18,"U","GT3","T",4,4,"teacher","services","home","yes","yes","GP","father",1,2,0,"no","yes","no","yes","yes","no",4,3,3,2,2,2,0,11,11,6,2,FALSE
"338","M",18,"U","LE3","T",3,4,"services","other","home","yes","yes","GP","mother",1,2,0,"no","no","no","yes","yes","yes",4,3,3,1,3,5,8,16,16,16,2,FALSE
"339","F",17,"U","GT3","A",2,2,"at_home","at_home","home","yes","yes","GP","father",1,2,0,"no","yes","no","no","yes","yes",3,3,1,1,2,4,9,10,10,7,1.5,FALSE
"340","F",18,"U","GT3","T",2,3,"at_home","other","course","yes","yes","GP","mother",1,3,0,"no","yes","no","no","yes","no",4,3,3,1,2,3,2,11,11,12,1.5,FALSE
"341","F",18,"U","GT3","T",3,2,"other","services","other","yes","yes","GP","mother",1,3,0,"no","no","no","no","yes","yes",5,4,3,2,3,1,6,14,14,16,2.5,TRUE
"342","M",18,"R","GT3","T",4,3,"teacher","services","course","yes","yes","GP","mother",1,3,0,"no","no","no","no","yes","yes",5,3,2,1,2,4,6,16,14,16,1.5,FALSE
"343","M",18,"U","GT3","T",4,3,"teacher","other","course","yes","yes","GP","mother",1,3,0,"no","yes","yes","no","yes","yes",5,4,5,2,3,5,0,12,12,12,2.5,TRUE
"344","F",17,"U","GT3","T",4,3,"health","other","reputation","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","yes",4,4,3,1,3,4,0,12,14,14,2,FALSE
"345","M",18,"R","GT3","T",3,2,"other","other","course","no","yes","MS","mother",2,1,0,"no","yes","no","no","yes","no",2,5,5,5,5,5,9,10,12,12,5,TRUE
"346","M",19,"R","GT3","T",1,1,"other","services","home","yes","yes","MS","other",3,2,2,"no","no","no","no","yes","no",5,4,4,3,3,2,8,9,8,10,3,TRUE
"347","M",17,"U","GT3","T",3,3,"health","other","course","yes","yes","MS","mother",2,2,0,"no","yes","yes","no","yes","no",4,5,4,2,3,3,3,10,11,12,2.5,TRUE
"348","M",18,"U","LE3","T",1,3,"at_home","services","course","yes","yes","MS","mother",1,1,0,"no","no","no","no","no","yes",4,3,3,2,3,3,4,8,8,8,2.5,TRUE
"349","M",19,"R","GT3","T",1,1,"other","other","home","yes","yes","MS","other",3,1,1,"no","yes","no","no","yes","no",4,4,4,3,3,5,4,8,8,9,3,TRUE
"350","M",17,"R","GT3","T",4,3,"services","other","home","no","yes","MS","mother",2,2,0,"no","yes","yes","yes","yes","yes",4,5,5,1,3,2,4,12,11,11,2,FALSE
"351","F",18,"U","GT3","T",3,3,"services","services","course","yes","no","MS","father",1,2,0,"no","yes","no","no","yes","yes",5,3,4,1,1,5,0,10,10,10,1,FALSE
"352","F",17,"R","GT3","T",4,4,"teacher","services","other","yes","yes","MS","father",2,2,0,"no","yes","yes","yes","yes","no",4,3,3,1,2,5,3,12,12,12,1.5,FALSE
"353","F",17,"U","LE3","A",3,2,"services","other","reputation","yes","no","MS","mother",2,2,0,"no","no","no","no","yes","yes",1,2,3,1,2,5,1,14,13,13,1.5,FALSE
"354","M",18,"U","LE3","T",1,1,"other","services","home","no","yes","MS","father",2,1,0,"no","no","no","no","yes","yes",3,3,2,1,2,3,3,12,12,12,1.5,FALSE
"355","F",18,"U","LE3","T",1,1,"at_home","services","course","yes","yes","MS","father",2,3,0,"no","no","no","no","yes","no",5,3,2,1,1,4,0,18,16,17,1,FALSE
"356","F",18,"U","GT3","T",3,3,"services","services","other","yes","yes","MS","mother",2,2,0,"no","yes","no","no","yes","yes",4,3,2,1,3,3,3,12,12,12,2,FALSE
"357","F",17,"U","LE3","T",4,4,"at_home","at_home","course","yes","yes","MS","mother",1,2,0,"no","yes","yes","yes","yes","yes",2,3,4,1,1,1,2,16,14,15,1,FALSE
"358","F",17,"R","GT3","T",1,2,"other","services","course","no","no","MS","father",2,2,0,"no","no","no","no","yes","no",3,2,2,1,2,3,0,12,12,12,1.5,FALSE
"359","M",18,"R","GT3","T",1,3,"at_home","other","course","yes","no","MS","mother",2,2,0,"no","yes","yes","no","yes","no",3,3,4,2,4,3,2,9,10,10,3,TRUE
"360","M",18,"U","LE3","T",4,4,"teacher","services","other","yes","yes","MS","mother",2,3,0,"no","no","yes","no","yes","yes",4,2,2,2,2,5,0,14,14,14,2,FALSE
"361","F",17,"R","GT3","T",1,1,"other","services","reputation","yes","yes","MS","mother",3,1,1,"no","yes","yes","no","yes","yes",5,2,1,1,2,1,0,8,7,4,1.5,FALSE
"362","F",18,"U","GT3","T",2,3,"at_home","services","course","yes","yes","MS","father",2,1,0,"no","yes","yes","no","yes","yes",5,2,3,1,2,4,0,10,10,10,1.5,FALSE
"363","F",18,"R","GT3","T",4,4,"other","teacher","other","no","yes","MS","father",3,2,0,"no","yes","yes","no","yes","yes",3,2,2,4,2,5,5,10,8,6,3,TRUE
"364","M",18,"R","LE3","T",1,2,"at_home","services","other","yes","yes","MS","father",3,1,0,"no","yes","yes","yes","no","yes",4,3,3,2,3,3,3,12,11,11,2.5,TRUE
"365","F",17,"U","GT3","T",2,2,"other","at_home","home","yes","no","MS","mother",1,3,0,"no","no","no","yes","yes","yes",3,4,3,1,1,3,8,12,11,12,1,FALSE
"366","F",17,"R","GT3","T",1,2,"other","other","course","yes","yes","MS","mother",1,1,0,"no","no","no","yes","yes","no",3,5,5,1,3,1,9,6,6,7,2,FALSE
"367","F",18,"R","LE3","T",4,4,"other","other","reputation","yes","yes","MS","mother",2,3,0,"no","no","no","no","yes","no",5,4,4,1,1,1,0,17,18,18,1,FALSE
"368","F",18,"R","GT3","T",1,1,"other","other","home","yes","yes","MS","mother",4,3,0,"no","no","no","no","yes","no",4,3,2,1,2,4,3,9,10,11,1.5,FALSE
"369","F",18,"R","LE3","T",4,4,"teacher","services","course","yes","yes","MS","mother",1,2,0,"no","no","yes","yes","yes","no",5,4,3,3,4,2,2,10,12,12,3.5,TRUE
"370","F",18,"U","GT3","T",3,3,"other","other","home","yes","yes","MS","mother",1,2,0,"no","no","yes","no","yes","yes",4,1,3,1,2,1,0,16,16,16,1.5,FALSE
"371","F",17,"R","GT3","T",3,1,"at_home","other","reputation","no","yes","MS","mother",1,2,0,"no","yes","yes","yes","yes","no",4,5,4,2,3,1,14,9,10,10,2.5,TRUE
"372","M",18,"U","GT3","T",4,4,"teacher","teacher","home","no","yes","MS","father",1,2,0,"no","no","yes","yes","yes","no",3,2,4,1,4,2,4,16,16,16,2.5,TRUE
"373","M",18,"R","GT3","T",2,1,"other","other","other","no","yes","MS","mother",2,1,0,"no","no","no","yes","yes","yes",4,4,3,1,3,5,2,7,6,4,2,FALSE
"374","M",17,"U","GT3","T",2,3,"other","services","home","yes","yes","MS","father",2,2,0,"no","no","no","yes","yes","no",4,4,3,1,1,3,3,12,13,13,1,FALSE
"375","M",19,"R","GT3","T",1,1,"other","services","other","yes","no","MS","mother",2,1,1,"no","no","no","no","yes","no",4,3,2,1,3,5,0,6,6,0,2,FALSE
"376","M",18,"R","GT3","T",4,2,"other","other","home","yes","no","MS","father",2,1,1,"no","no","yes","no","yes","no",5,4,3,4,3,3,7,6,6,2,3.5,TRUE
"377","F",18,"R","GT3","T",2,2,"at_home","other","other","yes","no","MS","mother",2,3,0,"no","no","yes","no","yes","no",5,3,3,1,3,4,1,12,13,12,2,FALSE
"378","F",18,"R","GT3","T",4,4,"teacher","at_home","reputation","yes","yes","MS","mother",3,1,0,"no","yes","yes","yes","yes","yes",4,4,3,2,2,5,6,6,7,8,2,FALSE
"379","F",19,"R","GT3","T",2,3,"services","other","course","no","yes","MS","mother",1,3,1,"no","no","no","yes","yes","no",5,4,2,1,2,5,2,8,8,5,1.5,FALSE
"380","F",18,"U","LE3","T",3,1,"teacher","services","course","yes","yes","MS","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,4,1,1,1,2,11,12,12,1,FALSE
"381","F",18,"U","GT3","T",1,1,"other","other","course","yes","no","MS","mother",2,2,2,"no","no","no","yes","yes","no",2,2,2,2,2,5,2,6,6,4,2,FALSE
"382","F",18,"U","GT3","T",1,1,"other","other","course","yes","no","MS","mother",2,2,0,"no","no","no","yes","yes","no",1,1,1,1,1,5,3,8,8,4,1,FALSE
"383","M",17,"U","LE3","T",3,1,"services","services","course","no","yes","MS","mother",2,1,0,"no","no","no","no","yes","no",2,4,5,3,4,2,4,12,13,13,3.5,TRUE
"384","M",18,"R","LE3","T",3,2,"services","other","course","no","yes","MS","mother",3,1,0,"no","no","no","no","yes","no",4,4,1,3,4,5,2,10,12,10,3.5,TRUE
